scenario,target_share,additional_switches,annual_savings_direct,annual_savings_total,govt_savings,description
Australia (actual),0.204,0,0,-386781.3600000143,-379019.86113713775,Observed Nov 2025
Germany,0.774,220347.02000000002,9254574.84,9254574.839999974,9068864.30809362,"Tam 2025 Table 2: adalimumab, retail, 2023 (25,488,822/32,932,765 DDD)"
Canada,0.651,170811.22999999998,7174071.659999999,7174071.660000026,7030110.355785979,"Tam 2025 Table 2: adalimumab, retail, 2023 (13,387,766/20,576,539 DDD)"
