cutoff,estimate,estimate_bc,se_robust,ci_lower,ci_upper,p_robust,bandwidth,n_left,n_right,molecule,bw_multiplier,bw_used,type,poly_order,sig
MabThera IV delisting,0.002318,0.00606,0.0088,-0.011187,0.023308,0.491,5.43,5,6,Rituximab,0.5,5.431363181256718,Bandwidth,1,
MabThera IV delisting,0.002345,0.002176,0.005305,-0.008221,0.012573,0.6817,8.15,8,9,Rituximab,0.75,8.147044771885078,Bandwidth,1,
MabThera IV delisting,0.001565,0.00368,0.005231,-0.006573,0.013933,0.4818,10.86,10,11,Rituximab,1,10.862726362513436,Bandwidth,1,
MabThera IV delisting,-6.6e-5,0.005072,0.005328,-0.00537,0.015514,0.3411,13.58,13,14,Rituximab,1.25,13.578407953141795,Bandwidth,1,
MabThera IV delisting,-0.001299,0.003862,0.005183,-0.006296,0.01402,0.4561,16.29,16,17,Rituximab,1.5,16.294089543770156,Bandwidth,1,
MabThera IV delisting,-0.062795,0.059919,0.005846,0.04846,0.071377,0,21.73,21,22,Rituximab,2,21.725452725026873,Bandwidth,1,***
MabThera SC delisting,0.008394,0.010962,0.015645,-0.019701,0.041626,0.4835,5.19,5,6,Rituximab,0.5,5.1883195750712146,Bandwidth,1,
MabThera SC delisting,0.008327,0.008925,0.012336,-0.015253,0.033104,0.4694,7.78,7,8,Rituximab,0.75,7.782479362606821,Bandwidth,1,
MabThera SC delisting,0.008333,0.007905,0.010092,-0.011875,0.027686,0.4334,10.38,10,11,Rituximab,1,10.376639150142429,Bandwidth,1,
MabThera SC delisting,-0.019773,0.036989,0.016378,0.004889,0.069089,0.0239,12.97,12,13,Rituximab,1.25,12.970798937678037,Bandwidth,1,*
MabThera SC delisting,-0.082197,0.066966,0.011757,0.043922,0.09001,0,15.56,15,16,Rituximab,1.5,15.564958725213643,Bandwidth,1,***
MabThera SC delisting,-0.166103,0.017707,0.016091,-0.01383,0.049244,0.2711,20.75,20,21,Rituximab,2,20.753278300284858,Bandwidth,1,
24% price cut,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adalimumab,0.5,1.8256257840494299,Bandwidth,1,
24% price cut,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adalimumab,0.75,2.7384386760741446,Bandwidth,1,
24% price cut,-5.1e-5,0.010277,0.013612,-0.016403,0.036956,0.4503,3.65,3,4,Adalimumab,1,3.6512515680988598,Bandwidth,1,
24% price cut,-2.76e-4,9.26e-4,0.013259,-0.025061,0.026914,0.9443,4.56,4,5,Adalimumab,1.25,4.564064460123575,Bandwidth,1,
24% price cut,-0.002258,0.003161,0.010974,-0.018347,0.02467,0.7733,5.48,5,6,Adalimumab,1.5,5.476877352148289,Bandwidth,1,
24% price cut,-0.006944,0.003785,0.009038,-0.013929,0.0215,0.6753,7.3,7,8,Adalimumab,2,7.3025031361977195,Bandwidth,1,
Streamlined authority,0.001881,-0.133767,0.005947,-0.145423,-0.122112,0,2.21,2,3,Adalimumab,0.5,2.2079548367484803,Bandwidth,1,***
Streamlined authority,-0.001305,0.011577,0.029639,-0.046514,0.069667,0.6961,3.31,3,4,Adalimumab,0.75,3.3119322551227204,Bandwidth,1,
Streamlined authority,-0.004393,0.006192,0.038688,-0.069636,0.08202,0.8728,4.42,4,5,Adalimumab,1,4.4159096734969605,Bandwidth,1,
Streamlined authority,-0.004705,-0.001474,0.029604,-0.059496,0.056548,0.9603,5.52,5,6,Adalimumab,1.25,5.519887091871201,Bandwidth,1,
Streamlined authority,-0.002056,-0.008618,0.024952,-0.057523,0.040286,0.7298,6.62,6,7,Adalimumab,1.5,6.623864510245441,Bandwidth,1,
Streamlined authority,0.003078,-0.009632,0.019709,-0.048261,0.028997,0.625,8.83,8,9,Adalimumab,2,8.831819346993921,Bandwidth,1,
MabThera IV delisting,0.001565,0.002992,0.005342,-0.007478,0.013462,0.5755,10.86,10,11,Rituximab,1,10.862726362513436,Polynomial,1,
MabThera IV delisting,0.003664,0.001331,0.005478,-0.009407,0.012068,0.8081,10.82,10,11,Rituximab,1,10.819469974335899,Polynomial,2,
MabThera SC delisting,0.008333,0.009072,0.0141,-0.018564,0.036707,0.52,10.38,10,11,Rituximab,1,10.376639150142429,Polynomial,1,
MabThera SC delisting,0.008392,0.003732,0.01363,-0.022983,0.030446,0.7843,7.13,7,8,Rituximab,1,7.1288840175216,Polynomial,2,
24% price cut,-5.1e-5,0.003179,0.010048,-0.016516,0.022873,0.7517,3.65,3,4,Adalimumab,1,3.6512515680988598,Polynomial,1,
24% price cut,0.004213,0.00611,0.011587,-0.016601,0.028821,0.598,6.7,6,7,Adalimumab,1,6.697445125431566,Polynomial,2,
Streamlined authority,-0.004393,-0.00896,0.023083,-0.054202,0.036281,0.6979,4.42,4,5,Adalimumab,1,4.4159096734969605,Polynomial,1,
Streamlined authority,-0.00953,-0.013177,0.021871,-0.056044,0.02969,0.5469,9.52,9,10,Adalimumab,1,9.519622315998491,Polynomial,2,
